Case / Source Cluster,Role,Primary Chapter(s),Main Claim Supported,CALM Lens,Risk / Overclaim Guard,Source Need
SIGAR / Afghanistan,Primary anchor,"1, 8, 13, 18",Progress representations can diverge from strategic validity and institutional learning,Claim Engine; Shadow Ledger; Lesson-to-Claim Conversion,Do not generalize to all defense reporting; use official findings,Direct SIGAR PDFs and page extraction
SIGIR / Wartime Contracting,Primary anchor,"8, 14, 17, 29",Contracting and reconstruction can diffuse accountability and hide sustainment/oversight failures,Consequence Trail; Ownership; Sustainment,Avoid anti-contractor polemic; source all facts,SIGIR and Commission PDFs
F-35 Sustainment,Primary anchor,"3, 11, 29","Advanced platform claims remain bounded by sustainment, spares, software, and readiness realities",Sustainment as Truth; Validity Boundary,Do not call aircraft failed; separate capability from support constraints,GAO/DOT&E/CRS packet
Future Combat Systems,Primary anchor,"7, 12, 28","System-of-systems ambition can exceed integration, requirements, and technology maturity",Validity Load; Category Machine,Do not imply future-oriented programs are inherently wrong,RAND PDF
LCS,Primary anchor,"4, 7, 11, 28",Multiple partial claims can combine into whole-program fragility,Claim Stack; Sustainment; Category Machine,Avoid simplistic 'failure' label without nuance,CRS/GAO/DOT&E
JADC2/CJADC2,Live stress-test,"5, 12, 27","Interoperability and speed claims require data, authority, cyber, and coalition conditions",Boundary Integrity; Interoperability Without Theater,"Treat as live challenge, not failure case","DoD strategy, GAO/CRS"
Project Maven / Defense AI,Primary AI anchor,"6, 26","AI labels require task, data, model, human role, accountability, and public legitimacy boundaries",AI Without Aura; Warrant Accounting,Avoid classified inference,Official DoD + public reporting
NASA Challenger/Columbia,Analogy,"1, 14, 19",Technical organizations can normalize representation-risk gaps,Reflexivity Defense; Claim Drift,Analogy only; not direct defense evidence,Official reports
737 MAX,Analogy,"6, 26","Automation claims require human role, training, certification, failure mode clarity",Human Role Boundary; AI/automation,Civil aviation analogy only,House/FAA/NTSB
507th Maintenance Company,Human-cost case,9,Mission/communication assumptions can reach operators under pressure,Human Boundary; Mission Claim,Ethical handling; no invented thoughts,Official Army report
Tongo Tongo,Human-cost case,9,Mission risk and operational assumptions can change faster than representation,Expiration Trigger; Consequence Trail,No classified inference; no motive claims,DoD report
Pat Tillman,Human-cost case,"9, 13",Public narrative can diverge from operational truth after tragedy,Claim Engine; Public Narrative Boundary,Protect family/casualty ethics,DoD IG/Army/Congress
Wanat,Human-cost case,9,Outpost/force posture assumptions can carry human consequences,Validity Boundary; Consequence Trail,Avoid overassigning blame,CSI/Army report
MRAP,Countercase,"12, 31","Speed can be valid when need, evidence, authority, and delivery align",Countercase; Rapid Fielding,Include cost/sustainment nuance,GAO/DoD
Ukraine Adaptation,Countercase/current,"10, 12, 24",Rapid learning and diffusion matter under adversary pressure,Learning Mobility; Second Valid Use,Avoid sensitive operational detail; keep current,RUSI/NATO/CSIS/SIPRI
