CALM Component,Imported / Supporting Source Pattern,Applicable Source Families,How It Applies,Risk If Misused
Claim Receipt,Claim-boundary discipline; source maturity; missing-warrant logic,Paralogic repo; GAO; SIGAR; SIGIR; NIST,"Makes claims specify evidence, boundary, implied inference, missing warrant, and safer conclusion",Becomes form-completion theater
Shadow Ledger,Negative space and non-collapse guards,Paralogic FORMAL_SPEC; GAO; DOT&E; NIST,Forces untested/unfunded/unauthorized/unsustained areas to travel with the claim,Filled with boilerplate caveats nobody acts on
Metric Integrity Test,Metric proxy collapse,MetricProxy.lean; AI/benchmark pilot; readiness dashboards,Blocks metrics from replacing target outcomes under optimization pressure,Becomes another metric vulnerable to gaming
Learning Escape Route,Lessons captured vs learned; second valid use,SIGAR; Ukraine; MRAP; Paralogic pilots,Moves useful local learning to a candidate second user with conditions intact,Forces originators into unpaid support or strips tacit context
Ownership-to-Stewardship,Ownership as enclosure; source/data/IP/credit barriers,Commission on Wartime Contracting; contractor-government sources; DIU,Converts 'ours' into governed reuse with credit and protections,"Forced sharing causes resistance, sabotage, or bad standardization"
Consequence Trail,Authority/accountability split,SIGIR; Wartime Contracting; F-35 sustainment; human-cost cases,"Maps who benefits, signs, operates, sustains, and inherits failure",Names owners but lacks enforcement
Bounded Authorization,Authorization is not universal validity,RMF/ATO/cATO; DoDD 3000.09; NIST AI RMF,"Approves specific use under specific conditions, time, and boundaries",Treated as paperwork rather than an operational boundary
Reflexivity Defense,Anti-reward-hacking and Paper CALM risk,CALM hardening docs; Paralogic anti-reward-hacking audit,Prevents CALM artifacts from becoming easier to satisfy than the reality protected,Turns into self-certifying compliance layer
Prior-Art Defense Matrix,Do not overclaim novelty,"PMBOK/PM, SEBoK, Mission Engineering, RMF, AAF",Shows what CALM adds and what it does not replace,Frames CALM as superior to existing disciplines rather than connective
